nazione,anno,classificazione_settore,variazione_settore_annua
AT,2021,"Electricity, gas, steam and air conditioning supply",5.3
AT,2022,"Electricity, gas, steam and air conditioning supply",-2.4
AT,2023,"Electricity, gas, steam and air conditioning supply",6.4
AT,2024,"Electricity, gas, steam and air conditioning supply",2.7
AT,2015,Employment activities,-4.3
AT,2016,Employment activities,6.9
AT,2017,Employment activities,14.7
AT,2018,Employment activities,3.0
AT,2019,Employment activities,-0.4
AT,2020,Employment activities,-23.3
AT,2021,Employment activities,21.0
AT,2022,Employment activities,6.4
AT,2023,Employment activities,-5.7
AT,2024,Employment activities,-13.9
AT,2015,Financial and insurance activities,-2.6
AT,2016,Financial and insurance activities,2.7
AT,2017,Financial and insurance activities,-5.7
AT,2018,Financial and insurance activities,-1.3
AT,2019,Financial and insurance activities,3.3
AT,2020,Financial and insurance activities,-2.8
AT,2021,Financial and insurance activities,1.4
AT,2022,Financial and insurance activities,-2.6
AT,2023,Financial and insurance activities,-1.0
AT,2024,Financial and insurance activities,2.5
AT,2015,"Financial service activities, except insurance and pension funding",-1.0
AT,2016,"Financial service activities, except insurance and pension funding",0.1
AT,2017,"Financial service activities, except insurance and pension funding",-6.9
AT,2018,"Financial service activities, except insurance and pension funding",-1.6
AT,2019,"Financial service activities, except insurance and pension funding",2.3
AT,2020,"Financial service activities, except insurance and pension funding",-2.3
AT,2021,"Financial service activities, except insurance and pension funding",1.8
AT,2022,"Financial service activities, except insurance and pension funding",-1.1
AT,2023,"Financial service activities, except insurance and pension funding",-3.7
AT,2024,"Financial service activities, except insurance and pension funding",3.9
AT,2015,Fishing and aquaculture,4.1
AT,2016,Fishing and aquaculture,5.8
AT,2017,Fishing and aquaculture,0.5
AT,2018,Fishing and aquaculture,4.8
AT,2019,Fishing and aquaculture,-2.5
AT,2020,Fishing and aquaculture,0.1
AT,2021,Fishing and aquaculture,16.2
AT,2022,Fishing and aquaculture,4.4
AT,2023,Fishing and aquaculture,-6.7
AT,2024,Fishing and aquaculture,0.4
AT,2015,Forestry and logging,-2.2
AT,2016,Forestry and logging,-0.4
AT,2017,Forestry and logging,-1.7
AT,2018,Forestry and logging,-3.5
AT,2019,Forestry and logging,-4.1
AT,2020,Forestry and logging,3.9
AT,2021,Forestry and logging,-1.2
AT,2022,Forestry and logging,-10.4
AT,2023,Forestry and logging,-1.2
AT,2024,Forestry and logging,-3.1
AT,2015,Human health activities,-1.4
AT,2016,Human health activities,4.3
AT,2017,Human health activities,2.3
AT,2018,Human health activities,2.2
AT,2019,Human health activities,3.7
AT,2020,Human health activities,-5.2
AT,2021,Human health activities,5.2
AT,2022,Human health activities,-2.3
AT,2023,Human health activities,3.5
AT,2024,Human health activities,-0.2
AT,2015,Human health and social work activities,0.5
AT,2016,Human health and social work activities,3.4
AT,2017,Human health and social work activities,4.3
AT,2018,Human health and social work activities,2.3
AT,2019,Human health and social work activities,2.8
AT,2020,Human health and social work activities,-5.0
AT,2021,Human health and social work activities,5.2
AT,2022,Human health and social work activities,-1.5
AT,2023,Human health and social work activities,2.9
AT,2024,Human health and social work activities,1.1
AT,2015,Industry (except construction),-0.3
AT,2016,Industry (except construction),0.5
AT,2017,Industry (except construction),0.7
AT,2018,Industry (except construction),1.9
AT,2019,Industry (except construction),1.1
AT,2020,Industry (except construction),-5.3
AT,2021,Industry (except construction),4.9
AT,2022,Industry (except construction),1.4
AT,2023,Industry (except construction),1.1
AT,2024,Industry (except construction),0.1
AT,2015,Information and communication,-1.3
AT,2016,Information and communication,2.1
AT,2017,Information and communication,3.0
AT,2018,Information and communication,4.5
AT,2019,Information and communication,5.7
AT,2020,Information and communication,-7.8
AT,2021,Information and communication,9.1
AT,2022,Information and communication,1.7
AT,2023,Information and communication,5.2
AT,2024,Information and communication,0.3
AT,2015,"Insurance, reinsurance and pension funding, except compulsory social security",-8.2
AT,2016,"Insurance, reinsurance and pension funding, except compulsory social security",6.6
AT,2017,"Insurance, reinsurance and pension funding, except compulsory social security",-5.1
AT,2018,"Insurance, reinsurance and pension funding, except compulsory social security",-3.0
AT,2019,"Insurance, reinsurance and pension funding, except compulsory social security",4.7
AT,2020,"Insurance, reinsurance and pension funding, except compulsory social security",-0.7
AT,2021,"Insurance, reinsurance and pension funding, except compulsory social security",-4.7
AT,2022,"Insurance, reinsurance and pension funding, except compulsory social security",-12.3
AT,2023,"Insurance, reinsurance and pension funding, except compulsory social security",3.6
AT,2024,"Insurance, reinsurance and pension funding, except compulsory social security",1.1
AT,2015,Land transport and transport via pipelines,-2.0
AT,2016,Land transport and transport via pipelines,5.5
AT,2017,Land transport and transport via pipelines,-1.5
AT,2018,Land transport and transport via pipelines,1.0
AT,2019,Land transport and transport via pipelines,1.7
AT,2020,Land transport and transport via pipelines,-11.1
AT,2021,Land transport and transport via pipelines,-0.1
AT,2022,Land transport and transport via pipelines,4.1
AT,2023,Land transport and transport via pipelines,0.6
AT,2024,Land transport and transport via pipelines,5.2
AT,2015,Legal and accounting activities; activities of head offices; management consultancy activities,2.2
AT,2016,Legal and accounting activities; activities of head offices; management consultancy activities,-0.8
AT,2017,Legal and accounting activities; activities of head offices; management consultancy activities,2.8
AT,2018,Legal and accounting activities; activities of head offices; management consultancy activities,1.3
AT,2019,Legal and accounting activities; activities of head offices; management consultancy activities,5.0
AT,2020,Legal and accounting activities; activities of head offices; management consultancy activities,-2.3
AT,2021,Legal and accounting activities; activities of head offices; management consultancy activities,6.6
AT,2022,Legal and accounting activities; activities of head offices; management consultancy activities,-0.3
AT,2023,Legal and accounting activities; activities of head offices; management consultancy activities,4.7
AT,2024,Legal and accounting activities; activities of head offices; management consultancy activities,0.2
AT,2015,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis,1.2
AT,2016,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis,-0.3
AT,2017,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis,2.4
AT,2018,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis,1.7
AT,2019,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis,4.2
AT,2020,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis,-3.6
AT,2021,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis,6.9
AT,2022,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis,-0.4
AT,2023,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis,2.7
AT,2024,Legal and accounting activities; activities of head offices; management consultancy activities; architectural and engineering activities; technical testing and analysis,0.1
AT,2015,Manufacture of basic metals,0.2
AT,2016,Manufacture of basic metals,2.0
AT,2017,Manufacture of basic metals,0.7
AT,2018,Manufacture of basic metals,2.0
AT,2019,Manufacture of basic metals,-1.0
AT,2020,Manufacture of basic metals,-9.1
AT,2021,Manufacture of basic metals,9.9
AT,2022,Manufacture of basic metals,0.4
AT,2023,Manufacture of basic metals,1.7
AT,2024,Manufacture of basic metals,2.8
AT,2015,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",0.4
AT,2016,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",1.5
AT,2017,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",1.3
AT,2018,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",1.8
AT,2019,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",-0.1
AT,2020,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",-8.4
AT,2021,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",7.3
AT,2022,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",0.9
AT,2023,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",-0.4
AT,2024,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",-1.4
AT,2015,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1.9
AT,2016,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2.3
AT,2017,Manufacture of basic pharmaceutical products and pharmaceutical preparations,-0.2
AT,2018,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2.7
AT,2019,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2.1
AT,2020,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2.5
AT,2021,Manufacture of basic pharmaceutical products and pharmaceutical preparations,4.8
AT,2022,Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.1
AT,2023,Manufacture of basic pharmaceutical products and pharmaceutical preparations,14.8
AT,2024,Manufacture of basic pharmaceutical products and pharmaceutical preparations,6.1
AT,2015,Manufacture of chemicals and chemical products,0.0
AT,2016,Manufacture of chemicals and chemical products,2.7
AT,2017,Manufacture of chemicals and chemical products,-1.4
AT,2018,Manufacture of chemicals and chemical products,2.2
AT,2019,Manufacture of chemicals and chemical products,3.7
AT,2020,Manufacture of chemicals and chemical products,0.6
AT,2021,Manufacture of chemicals and chemical products,5.3
AT,2022,Manufacture of chemicals and chemical products,1.6
AT,2023,Manufacture of chemicals and chemical products,1.3
AT,2024,Manufacture of chemicals and chemical products,0.1
AT,2015,Manufacture of coke and refined petroleum products,7.9
AT,2016,Manufacture of coke and refined petroleum products,-1.5
AT,2017,Manufacture of coke and refined petroleum products,3.2
AT,2018,Manufacture of coke and refined petroleum products,2.5
AT,2019,Manufacture of coke and refined petroleum products,6.9
AT,2020,Manufacture of coke and refined petroleum products,6.8
AT,2021,Manufacture of coke and refined petroleum products,3.8
AT,2022,Manufacture of coke and refined petroleum products,3.5
AT,2023,Manufacture of coke and refined petroleum products,2.2
AT,2024,Manufacture of coke and refined petroleum products,6.6
AT,2015,"Manufacture of computer, electronic and optical products",1.4
AT,2016,"Manufacture of computer, electronic and optical products",3.9
AT,2017,"Manufacture of computer, electronic and optical products",1.5
AT,2018,"Manufacture of computer, electronic and optical products",5.0
AT,2019,"Manufacture of computer, electronic and optical products",3.3
AT,2020,"Manufacture of computer, electronic and optical products",-4.8
AT,2021,"Manufacture of computer, electronic and optical products",8.6
AT,2022,"Manufacture of computer, electronic and optical products",4.1
AT,2023,"Manufacture of computer, electronic and optical products",6.9
AT,2024,"Manufacture of computer, electronic and optical products",4.0
AT,2015,Manufacture of electrical equipment,0.0
AT,2016,Manufacture of electrical equipment,-0.8
AT,2017,Manufacture of electrical equipment,1.5
AT,2018,Manufacture of electrical equipment,0.1
AT,2019,Manufacture of electrical equipment,-5.0
AT,2020,Manufacture of electrical equipment,-0.7
AT,2021,Manufacture of electrical equipment,4.1
AT,2022,Manufacture of electrical equipment,1.1
AT,2023,Manufacture of electrical equipment,3.1
AT,2024,Manufacture of electrical equipment,-0.2
AT,2015,"Manufacture of fabricated metal products, except machinery and equipment",0.5
AT,2016,"Manufacture of fabricated metal products, except machinery and equipment",1.3
AT,2017,"Manufacture of fabricated metal products, except machinery and equipment",1.5
AT,2018,"Manufacture of fabricated metal products, except machinery and equipment",1.7
AT,2019,"Manufacture of fabricated metal products, except machinery and equipment",0.3
AT,2020,"Manufacture of fabricated metal products, except machinery and equipment",-8.1
AT,2021,"Manufacture of fabricated metal products, except machinery and equipment",6.2
AT,2022,"Manufacture of fabricated metal products, except machinery and equipment",1.1
AT,2023,"Manufacture of fabricated metal products, except machinery and equipment",-1.4
AT,2024,"Manufacture of fabricated metal products, except machinery and equipment",-3.5
AT,2015,Manufacture of food products; beverages and tobacco products,0.7
AT,2016,Manufacture of food products; beverages and tobacco products,0.3
AT,2017,Manufacture of food products; beverages and tobacco products,0.8
AT,2018,Manufacture of food products; beverages and tobacco products,0.9
AT,2019,Manufacture of food products; beverages and tobacco products,1.0
AT,2020,Manufacture of food products; beverages and tobacco products,-2.8
AT,2021,Manufacture of food products; beverages and tobacco products,1.6
AT,2022,Manufacture of food products; beverages and tobacco products,3.9
AT,2023,Manufacture of food products; beverages and tobacco products,0.9
AT,2024,Manufacture of food products; beverages and tobacco products,3.5
AT,2015,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",-0.6
AT,2016,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",-1.1
AT,2017,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",1.9
AT,2018,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",0.2
AT,2019,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",0.4
AT,2020,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",-5.1
AT,2021,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",5.7
AT,2022,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",1.3
AT,2023,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",-2.1
AT,2024,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",-1.1
AT,2015,Manufacture of furniture; other manufacturing,-0.5
AT,2016,Manufacture of furniture; other manufacturing,-2.4
AT,2017,Manufacture of furniture; other manufacturing,1.8
AT,2018,Manufacture of furniture; other manufacturing,-0.6
AT,2019,Manufacture of furniture; other manufacturing,-0.4
AT,2020,Manufacture of furniture; other manufacturing,-7.8
AT,2021,Manufacture of furniture; other manufacturing,5.7
AT,2022,Manufacture of furniture; other manufacturing,1.5
AT,2023,Manufacture of furniture; other manufacturing,-2.9
AT,2024,Manufacture of furniture; other manufacturing,-0.8
AT,2015,Manufacture of machinery and equipment n.e.c.,0.3
AT,2016,Manufacture of machinery and equipment n.e.c.,0.1
AT,2017,Manufacture of machinery and equipment n.e.c.,0.7
AT,2018,Manufacture of machinery and equipment n.e.c.,2.7
AT,2019,Manufacture of machinery and equipment n.e.c.,2.6
AT,2020,Manufacture of machinery and equipment n.e.c.,-5.5
AT,2021,Manufacture of machinery and equipment n.e.c.,7.2
AT,2022,Manufacture of machinery and equipment n.e.c.,2.3
AT,2023,Manufacture of machinery and equipment n.e.c.,3.9
AT,2024,Manufacture of machinery and equipment n.e.c.,0.2
AT,2015,"Manufacture of motor vehicles, trailers and semi-trailers",0.4
AT,2016,"Manufacture of motor vehicles, trailers and semi-trailers",2.6
AT,2017,"Manufacture of motor vehicles, trailers and semi-trailers",4.9
AT,2018,"Manufacture of motor vehicles, trailers and semi-trailers",13.5
AT,2019,"Manufacture of motor vehicles, trailers and semi-trailers",2.1
AT,2020,"Manufacture of motor vehicles, trailers and semi-trailers",-11.7
AT,2021,"Manufacture of motor vehicles, trailers and semi-trailers",-0.1
AT,2022,"Manufacture of motor vehicles, trailers and semi-trailers",-2.0
AT,2023,"Manufacture of motor vehicles, trailers and semi-trailers",2.0
AT,2024,"Manufacture of motor vehicles, trailers and semi-trailers",-6.1
AT,2015,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",0.7
AT,2016,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",3.1
AT,2017,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",5.1
AT,2018,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",14.2
AT,2019,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",7.9
AT,2020,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",-9.0
AT,2021,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",2.6
AT,2022,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",-0.5
AT,2023,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",2.1
AT,2024,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",-2.1
AT,2015,Manufacture of other non-metallic mineral products,-2.0
AT,2016,Manufacture of other non-metallic mineral products,-0.5
AT,2017,Manufacture of other non-metallic mineral products,0.3
AT,2018,Manufacture of other non-metallic mineral products,-0.4
AT,2019,Manufacture of other non-metallic mineral products,1.1
AT,2020,Manufacture of other non-metallic mineral products,-8.5
AT,2021,Manufacture of other non-metallic mineral products,3.9
AT,2022,Manufacture of other non-metallic mineral products,-0.1
AT,2023,Manufacture of other non-metallic mineral products,-3.2
AT,2024,Manufacture of other non-metallic mineral products,-2.8
AT,2015,Manufacture of other transport equipment,2.2
AT,2016,Manufacture of other transport equipment,5.5
AT,2017,Manufacture of other transport equipment,5.9
AT,2018,Manufacture of other transport equipment,17.1
AT,2019,Manufacture of other transport equipment,31.6
AT,2020,Manufacture of other transport equipment,-0.8
AT,2021,Manufacture of other transport equipment,10.0
AT,2022,Manufacture of other transport equipment,3.3
AT,2023,Manufacture of other transport equipment,2.5
AT,2024,Manufacture of other transport equipment,7.4
AT,2015,Manufacture of paper and paper products,-1.1
AT,2016,Manufacture of paper and paper products,-1.3
AT,2017,Manufacture of paper and paper products,0.3
AT,2018,Manufacture of paper and paper products,-1.7
AT,2019,Manufacture of paper and paper products,0.4
AT,2020,Manufacture of paper and paper products,-1.0
AT,2021,Manufacture of paper and paper products,0.1
AT,2022,Manufacture of paper and paper products,0.6
AT,2023,Manufacture of paper and paper products,-4.0
AT,2024,Manufacture of paper and paper products,-0.3
AT,2015,Manufacture of rubber and plastic products,0.1
AT,2016,Manufacture of rubber and plastic products,0.3
AT,2017,Manufacture of rubber and plastic products,-1.1
AT,2018,Manufacture of rubber and plastic products,1.4
AT,2019,Manufacture of rubber and plastic products,0.6
AT,2020,Manufacture of rubber and plastic products,-6.7
AT,2021,Manufacture of rubber and plastic products,4.6
AT,2022,Manufacture of rubber and plastic products,2.5
AT,2023,Manufacture of rubber and plastic products,1.1
AT,2024,Manufacture of rubber and plastic products,-1.4
AT,2015,Manufacture of rubber and plastic products and other non-metallic mineral products,-1.0
AT,2016,Manufacture of rubber and plastic products and other non-metallic mineral products,-0.1
AT,2017,Manufacture of rubber and plastic products and other non-metallic mineral products,-0.4
AT,2018,Manufacture of rubber and plastic products and other non-metallic mineral products,0.5
