nazione,anno,tasso_disoccupazione_donne,tasso_disoccupazione_uomini,gap_di_genere
IE,2024,4.3,4.3,0.0
CZ,2024,3.0,2.3,0.70000000000000018
BG,2024,3.9,4.4,-0.50000000000000044
ES,2024,12.7,10.2,2.5
NL,2024,3.8,3.5,0.29999999999999982
SK,2024,5.9,4.8,1.1000000000000005
HU,2024,4.4,4.6,-0.19999999999999929
CY,2024,5.1,4.6,0.5
PT,2024,6.9,6.1,0.80000000000000071
HR,2024,5.0,5.0,0.0
NO,2024,3.8,4.2,-0.40000000000000036
EU27_2020,2024,6.2,5.7,0.5
FR,2024,7.2,7.5,-0.29999999999999982
PL,2024,3.1,2.7,0.39999999999999991
CH,2024,4.6,4.2,0.39999999999999947
LT,2024,6.5,7.8,-1.2999999999999998
